"epoch","Name: hopfield_mol - _step","Name: hopfield_mol - _step__MIN","Name: hopfield_mol - _step__MAX","Name: hopfield_mol - ci_val","Name: hopfield_mol - ci_val__MIN","Name: hopfield_mol - ci_val__MAX"
"335","670","670","670","0.8709471751631496","0.8664786587797499","0.8733512644239941"
"336","672","672","672","0.8704211237708653","0.8649900871905744","0.8734122068711372"
"337","674","674","674","0.8726364885435791","0.8704960925234352","0.8745385263015524"
"338","676","676","676","0.8717407453596225","0.8697433540228009","0.875768192243695"
"339","678","678","678","0.8730797111726465","0.8689351433663226","0.8813509564312744"
"340","680","680","680","0.8730790157426653","0.8684480926451719","0.875307040543006"
"341","682","682","682","0.8739106174188397","0.8705200746669849","0.880398078796082"
"342","684","684","684","0.8730688031932745","0.8696977193324097","0.8805872010490928"
"343","686","686","686","0.8729427321046808","0.8702829594561161","0.877985970163322"
"344","688","688","688","0.8722531356177349","0.8692553950953263","0.8800800780381379"
"345","690","690","690","0.8742513698287541","0.8724773565741963","0.8780395775169646"
"346","692","692","692","0.8738381571173013","0.872639554180179","0.8750365077424442"
"347","694","694","694","0.8714165473790109","0.8649905895736238","0.8775903135275879"
"348","696","696","696","0.8708808899941365","0.8645783811513982","0.8749562024026538"
"349","698","698","698","0.8733043703042368","0.8694180621797881","0.8789177112561056"
"350","700","700","700","0.870276393095814","0.8636515754524147","0.8777386842946815"
"351","702","702","702","0.8723932754951239","0.8681915917222311","0.87931554907887"
"352","704","704","704","0.8715364796823591","0.8671645765382829","0.8785931211423854"
"353","706","706","706","0.8726170297640781","0.8709094677234861","0.8755586488048809"
"354","708","708","708","0.8724590880577978","0.8709447559041933","0.8747480643884145"
"355","710","710","710","0.8725189181146098","0.8712615734689929","0.873777072198363"
"356","712","712","712","0.8728618620669593","0.869046029931333","0.8782215742951822"
"357","714","714","714","0.8713849786417576","0.8668879161455274","0.8753913701496315"
"358","716","716","716","0.8722350343270069","0.8692435305081193","0.8753233496726958"
"359","718","718","718","0.8734788272222934","0.8713692930205894","0.874434656905427"
