"epoch","Name: hopfield_prot - _step","Name: hopfield_prot - _step__MIN","Name: hopfield_prot - _step__MAX","Name: hopfield_prot - loss_to_report_val","Name: hopfield_prot - loss_to_report_val__MIN","Name: hopfield_prot - loss_to_report_val__MAX"
"326","652","652","652","0.1492776071845094","0.1433096219017026","0.15464944505829378"
"327","654","654","654","0.15006086446526049","0.14813831491442533","0.1514621391550947"
"328","656","656","656","0.1501107900193569","0.14766094018018636","0.1536534026117071"
"329","658","658","658","0.14848767313079864","0.14484982375596403","0.1505918278936164"
"330","660","660","660","0.15035072633508273","0.14549549180476007","0.15560483163181202"
"331","662","662","662","0.15023888187349044","0.1485868625284711","0.15391152566251332"
"332","664","664","664","0.15102570235494844","0.14920450251036607","0.15198396893899283"
"333","666","666","666","0.1499599910820055","0.14723337681611018","0.15333626611955628"
"334","668","668","668","0.1509251103950129","0.1484571617475076","0.15339528427189572"
"335","670","670","670","0.14962884622390243","0.14601950699175065","0.15407768232600608"
"336","672","672","672","0.14981204743801044","0.14737391072189127","0.1539039651260011"
"337","674","674","674","0.149575163483957","0.1476199503875925","0.15172358579979517"
"338","676","676","676","0.15088163708972374","0.14839383376371917","0.15362670361993874"
"339","678","678","678","0.14907742601858986","0.14705717832199072","0.15192113372231206"
"340","680","680","680","0.1501771536723854","0.14615333995198995","0.1516010655702965"
"341","682","682","682","0.14859588873116863","0.14505930461287553","0.1540294259440764"
"342","684","684","684","0.15047974037055142","0.14778057756974428","0.15383696988583664"
"343","686","686","686","0.15228265907279218","0.14860002183031137","0.15633875129345526"
"344","688","688","688","0.15092477079484629","0.14471841344434638","0.1552228244592804"
"345","690","690","690","0.15088176610835777","0.14709782480989433","0.1536156985224747"
"346","692","692","692","0.15054077487843628","0.14854194896721892","0.15247808658141257"
"347","694","694","694","0.14918635554932366","0.14669715295678182","0.1521701822752572"
"348","696","696","696","0.1501063523433173","0.14696695298744109","0.15198734034073452"
"349","698","698","698","0.15024179348863204","0.14789036621781576","0.15248914670880517"
"350","700","700","700","0.15124068026569604","0.14945246431981693","0.15393140839633104"
"351","702","702","702","0.14930903907158985","0.147401999548711","0.1517419991383749"
